iter	RMSE
0	2242.644256
1	2185.101491
2	2129.806131
3	2076.158824
4	2024.778409
5	1976.171361
6	1928.49582
7	1881.98203
8	1837.090445
9	1793.590745
10	1751.770223
11	1712.569626
12	1673.410916
13	1636.244128
14	1599.992069
15	1564.902372
16	1531.328882
17	1498.590084
18	1467.901537
19	1437.802435
20	1408.856773
21	1381.120082
22	1354.548049
23	1328.98796
24	1304.237185
25	1280.44638
26	1257.755008
27	1235.999956
28	1215.231816
29	1195.308193
30	1176.291582
31	1157.901008
32	1140.451188
33	1124.076371
34	1108.051594
35	1092.814401
36	1078.52448
37	1064.430015
38	1050.95832
39	1038.254781
40	1026.096434
41	1014.664282
42	1003.605316
43	993.3680954
44	983.4917626
45	973.8342652
46	964.5420302
47	955.8107305
48	947.5535073
49	939.742361
50	932.2380089
51	925.1831472
52	918.5304096
53	912.0389833
54	906.0318285
55	900.1878499
56	894.9059957
57	889.8039447
58	884.849243
59	880.2332206
60	875.887529
61	871.8798434
62	867.885594
63	864.2946275
64	860.7497337
65	857.4366914
66	854.2829564
67	851.2843558
68	848.4031447
69	845.7439291
70	843.248548
71	840.782383
72	838.526534
73	836.4156027
74	834.4143845
75	832.5435811
76	830.729006
77	828.9633148
78	827.3054472
79	825.6974966
80	824.2217168
81	822.8656589
82	821.57822
83	820.5016104
84	819.289028
85	818.2051882
86	817.1259937
87	816.1117593
88	815.1454597
89	814.2573646
90	813.4003699
91	812.5971212
92	811.8191981
93	811.2083467
94	810.5251911
95	809.882138
96	809.2815488
97	808.7144334
98	808.1875339
99	807.713467
100	807.2505562
101	806.8367017
102	806.4200097
103	806.0229329
104	805.6191524
105	805.2600639
106	804.9160024
107	804.6055364
108	804.280751
109	803.9423636
110	803.6654333
111	803.4130866
112	803.1398835
113	802.8679602
114	802.6426631
115	802.410285
116	802.1584566
117	801.9936343
118	801.832383
119	801.6451738
120	801.4686271
121	801.3419877
122	801.1533221
123	800.9719795
124	800.888016
125	800.7672435
126	800.6660835
127	800.4996541
128	800.3650386
129	800.2673224
130	800.1745611
131	800.0776945
132	799.9885461
133	799.9057235
134	799.836112
135	799.7504347
136	799.6943944
137	799.5984259
138	799.5158233
139	799.4424558
140	799.3908021
141	799.3438187
142	799.2748276
143	799.2431289
144	799.1486194
145	799.1061404
146	799.0327644
147	798.956013
148	798.9236397
149	798.8896825
150	798.8585265
151	798.8064982
152	798.7304178
153	798.6785976
154	798.5954706
155	798.567501
156	798.5252849
157	798.5035955
158	798.4891406
159	798.4541471
160	798.3819525
161	798.3627112
162	798.3095701
163	798.2806324
164	798.2698308
165	798.2039122
166	798.1891418
167	798.1155545
168	798.0556555
169	798.0473572
170	797.9716886
171	797.9578213
172	797.9403489
173	797.9111207
174	797.879979
175	797.8099094
176	797.7600516
177	797.7111599
178	797.7007456
179	797.6952779
180	797.6867488
181	797.6597049
182	797.6502992
183	797.6276071
184	797.6194852
185	797.6073181
186	797.5969459
187	797.5846275
188	797.5809904
189	797.5162008
190	797.4812268
191	797.4236503
192	797.351028
193	797.2814452
194	797.2651557
195	797.2564773
196	797.2534433
197	797.2379643
198	797.2344364
199	797.2321463
200	797.2295449
201	797.122943
202	797.0912395
203	797.0377124
204	796.9739282
205	796.9498095
206	796.8702923
207	796.8674448
208	796.8042585
209	796.7797603
210	796.7268689
211	796.6582764
212	796.6560328
213	796.635954
214	796.6137906
215	796.5759678
216	796.5737046
217	796.5096042
218	796.5003283
219	796.4980852
220	796.4337071
221	796.4026574
222	796.4000279
223	796.3697981
224	796.3199002
225	796.3172648
226	796.2851282
227	796.1930953
228	796.0885557
229	796.0395593
230	796.0372916
231	795.9828028
232	795.9517734
233	795.9510672
234	795.9229908
235	795.8321556
236	795.8265613
237	795.8248599
238	795.7861146
239	795.7400499
240	795.719285
241	795.7185793
242	795.6937047
243	795.6908637
244	795.6838992
245	795.673882
246	795.6726867
247	795.6710759
248	795.6402462
249	795.5920256
250	795.5920255
251	795.5382969
252	795.5157708
253	795.4545204
254	795.3974562
255	795.3296881
256	795.3293231
257	795.2841011
258	795.2558257
259	795.1778178
260	795.1148726
261	795.0906275
262	795.0592887
263	794.9692267
264	794.93278
265	794.8513705
266	794.8349319
267	794.8083003
268	794.8069098
269	794.714378
270	794.6410343
271	794.6258391
272	794.6037698
273	794.5009057
