iter	Passed	Remaining
0	334	166821
1	695	173289
2	1070	177421
3	1431	177533
4	1812	179451
5	1970	162277
6	2419	170413
7	2775	170716
8	3167	172788
9	3526	172815
10	3947	175500
11	4098	166690
12	4489	168171
13	4862	168786
14	5240	169441
15	5605	169552
16	5954	169168
17	6347	169984
18	6764	171250
19	7172	172145
20	7537	171935
21	7925	172190
22	8201	170081
23	8520	168996
24	8859	168335
25	9223	168155
26	9556	167411
27	9895	166801
28	10239	166299
29	10592	165954
30	10865	164388
31	11200	163812
32	11550	163451
33	11907	163198
34	12250	162753
35	12623	162697
36	12787	160020
37	13073	158941
38	13421	158644
39	13768	158339
40	14116	158033
41	14356	156549
42	14683	156050
43	14813	153522
44	15133	153017
45	15492	152908
46	15860	152869
47	16202	152569
48	16574	152550
49	16919	152278
50	17275	152093
51	17598	151618
52	17938	151292
53	18295	151108
54	18653	150920
55	19047	151015
56	19276	149816
57	19618	149502
58	19968	149257
59	20188	148049
60	20575	148078
61	20773	146758
62	21141	146650
63	21382	145667
64	21803	145913
65	22242	146262
66	22535	145639
67	23223	147538
68	23625	147575
69	23823	146346
70	24135	145833
71	24593	146193
72	24909	145703
73	25147	144767
74	25586	144992
75	25795	143913
76	26212	143998
77	26588	143851
78	26899	143348
79	27268	143158
80	27700	143291
81	27847	141955
82	28028	140819
83	28114	139234
84	28534	139317
85	28844	138857
86	29157	138413
87	29588	138527
88	30062	138827
89	30276	137925
90	30631	137674
91	30880	136948
92	31186	136484
93	31274	135077
94	31616	134786
95	31960	134501
96	32313	134251
97	32542	133492
98	32873	133154
99	32974	131899
100	33303	131564
101	33414	130383
102	33574	129408
103	33790	128662
104	33987	127856
105	34119	126820
106	34282	125917
107	34407	124886
108	34757	124680
109	35120	124517
110	35456	124257
111	35782	123959
112	36139	123769
113	36505	123607
114	36842	123342
115	37208	123172
116	37571	122990
117	37904	122707
118	38297	122616
119	38695	122535
120	39107	122494
121	39242	121588
122	39609	121403
123	40156	121765
124	40227	120681
125	40355	119784
126	40527	119029
127	41009	119184
128	41632	119734
129	42287	120356
130	42489	119685
131	42854	119472
132	43072	118854
133	43523	118877
134	43694	118137
135	44063	117934
136	44158	117004
137	44592	116973
138	45013	116904
139	45594	117243
140	45921	116921
141	46044	116083
142	46415	115875
143	46474	114894
144	47333	115886
145	47770	115825
146	48439	116321
147	49058	116680
148	49217	115940
149	49421	115316
150	49575	114582
151	50196	114922
152	50640	114851
153	51086	114777
154	51715	115108
155	52135	114966
156	52688	115109
157	52825	114343
158	52938	113535
159	53445	113571
160	54036	113778
161	54204	113093
162	54669	113028
163	55176	113044
164	55234	112143
165	55674	112019
166	55842	111349
167	56373	111404
168	56790	111229
169	56909	110472
170	57351	110343
171	57496	109644
172	57859	109364
173	58232	109102
174	58702	109018
175	59137	108866
176	59561	108692
177	60190	108884
178	60301	108138
179	60414	107403
180	60498	106623
181	60917	106438
182	61096	105834
183	61600	105791
184	61732	105112
185	61921	104533
186	62108	103956
187	62289	103373
188	62360	102613
189	62862	102565
190	63228	102290
191	63642	102093
192	63996	101797
193	64386	101557
194	64746	101270
195	64945	100731
196	65009	99989
197	65378	99719
198	65438	98979
199	65544	98317
200	65617	97609
201	66028	97407
202	66402	97150
203	66799	96924
204	67158	96643
205	67536	96387
206	67906	96118
207	67985	95440
208	68324	95130
209	68679	94843
210	69075	94609
211	69416	94302
212	69469	93604
213	69822	93314
214	70146	92984
215	70509	92706
216	70567	92030
217	70926	91749
218	71240	91409
219	71340	90796
220	71701	90519
221	72081	90263
222	72172	89649
223	72542	89383
224	72880	89076
225	73062	88580
226	73386	88258
227	73779	88017
228	74183	87789
229	74537	87500
230	74641	86919
231	75000	86638
232	75364	86361
233	75508	85834
234	75864	85549
235	76321	85376
236	76634	85041
237	76713	84449
238	77099	84196
239	77464	83919
240	77843	83658
241	77896	83046
242	78286	82796
243	78400	82256
244	78751	81965
245	79055	81626
246	79123	81045
247	79180	80457
248	79528	80167
249	79879	79879
250	79905	79269
251	80332	79057
252	80729	78814
253	81070	78517
254	81424	78230
255	81764	77931
256	81872	77412
257	82180	77083
258	82547	76810
259	82883	76507
260	83236	76220
261	83595	75937
262	83949	75650
263	84296	75356
264	84620	75040
265	84959	74738
266	85321	74456
267	85710	74196
268	85813	73691
269	86198	73428
270	86586	73167
271	86928	72866
272	87284	72577
273	87630	72278
